City,All industry total (in thousands),  Private industries,"    Agriculture, forestry, fishing and hunting","    Mining, quarrying, and oil and gas extraction",    Utilities,    Construction,    Manufacturing,      Durable goods manufacturing,      Nondurable goods manufacturing,    Wholesale trade,    Retail trade,    Transportation and warehousing,    Information,"    Finance, insurance, real estate, rental, and leasing",      Finance and insurance,      Real estate and rental and leasing,    Professional and business services,"      Professional, scientific, and technical services",      Management of companies and enterprises,      Administrative and support and waste management and remediation services,"    Educational services, health care, and social assistance",      Educational services,      Health care and social assistance,"    Arts, entertainment, recreation, accommodation, and food services","      Arts, entertainment, and recreation",      Accommodation and food services,    Other services (except government and government enterprises),Government and government enterprises,Natural resources and mining,Trade,Transportation and utilities,Manufacturing and information,Private goods-producing industries 2/,Private services-providing industries 3/,Personal income (thousands of dollars),  Net earnings by place of residence,  Personal current transfer receipts,    Income maintenance benefits 1/,    Unemployment insurance compensation,    Retirement and other,"  Dividends, interest, and rent 2/",  Population (persons) 3/,  Per capita personal income 4/,  Per capita net earnings 4/,  Per capita personal current transfer receipts 4/,    Per capita income maintenance benefits 4/,    Per capita unemployment insurance compensation 4/,    Per capita retirement and other 4/,"  Per capita dividends, interest, and rent 4/",  Earnings by place of work,    Wages and salaries,    Supplements to wages and salaries,      Employer contributions for employee pension and insurance funds 5/,      Employer contributions for government social insurance,    Proprietors' income,      Farm proprietors' income,      Nonfarm proprietors' income,Total employment (number of jobs),  Wage and salary employment,  Proprietors employment,    Farm proprietors employment 6/,    Nonfarm proprietors employment,Average earnings per job (dollars),  Average wages and salaries,  Average nonfarm proprietors' income,Total MLB Teams,Total MLB Team Value (dollars thousands),Total team revenue (dollars thousands),Home Games MLB,Reg Season wins MLB,Home Wins MLB,World Series Title,Division Title MLB,Attendance MLB,Attendace per Game MLB,Payroll MLB (dollars),NFL Teams,NFL Team Value (Thousands,NFL Team Revenue,NFL Team Purchased,NFL Team relocated,NBA Team Numbers,NBA Team Value,NBA Team Revenue,Large Market,Medium Market,Small Market,No Teams,NFL Super Bowl Winner,NFL Division Champion,NFL Playoff Participants,NFL Win Percentage,NFL Wins,NFL Home Attendance,Average Attendance Per Game,Year
Boise,23153973,20125297,378326,66456,246658,939498,3792692,3170505,622187,(D),1929846,(D),(D),3754228,(D),(D),2713885,(D),(D),(D),(D),(D),(D),689248,149436,539812,460731,3028676,444782,(D),(D),(D),5176972,14948325,20737699,13188244,3824428,398256,279737,3146435,3725027,617869,33563,21345,6190,645,453,5092,6029,14893499,10338390,2553759,1575546,978213,2001350,111424,1889926,350361,264566,85795,4789,81006,42509,39077,23331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2010
Boston,328388228,295600400,(D),95046,4815830,8485217,34193719,24265160,9928559,18307061,12676061,(D),22320824,72225458,29721455,42504003,59090615,43139037,6581331,9370246,40421183,11076873,29344310,11422804,3402598,8020205,5912148,32787828,(D),30983122,(D),56514544,(D),(D),265132347,183319447,35871098,3533726,2967203,29370169,45941802,4566449,58061,40145,7855,774,650,6432,10061,217578927,153029743,32815458,22173009,10642449,31733726,31365,31702361,3085620,2484538,601082,2691,598391,70514,61593,52979,1,870000,266000,81,89,46,0,0,3046445,37610.4321,164507333,1,1367000,318000,0,0,1,452000,151000,0,1,0,0,0,1,1,0.875,14,550048,68756,2010
Charlotte,109577823,98708737,342395,124918,(D),3169953,15366596,7606699,7759896,8284164,5909772,(D),5142782,25484343,15037942,10446401,14949900,(D),(D),(D),6610950,(D),(D),(D),(D),(D),1911505,10869085,467313,14193936,(D),20509378,19003862,79704875,87057935,59598728,14931224,1717706,1260074,11953444,12527983,2250090,38691,26487,6636,763,560,5312,5568,67932788,47893543,10462444,6934412,3528032,9576801,132981,9443820,1263077,1006685,256392,6735,249657,53784,47576,37827,0,0,0,0,0,0,0,0,0,0,0,1,1037000,247000,0,0,1,281000,98000,0,0,1,0,0,0,0,0.125,2,580965,72620.625,2010
Chicago,514426001,461745788,303027,272313,5745280,15240368,64167002,(D),(D),(D),26123749,(D),(D),112071235,48829115,63242120,76432029,46608020,11775306,18048703,46042885,(D),(D),19537569,5643915,13893653,(D),52680213,575340,(D),(D),(D),79982709,381763078,418681182,278878642,66973833,7689457,5182868,54101508,72828707,9470880,44207,29446,7072,812,547,5712,7690,315391662,234674202,54945179,38776473,16168706,25772281,102245,25670036,5470609,4383183,1087426,5749,1081677,57652,53540,23732,2,1192000,440000,162,163,80,0,0,5257351,32452.78395,253804002,1,1067000,254000,0,0,1,511000,169000,1,0,0,0,0,1,1,0.6875,11,497561,62195.125,2010
Cleveland,102474148,90641865,(D),164722,(D),2492059,15714466,9044971,6669495,(D),5494943,(D),3982262,21865844,9386158,12479685,12333356,6624629,2562102,3146625,11478361,1670490,9807871,3174669,1175530,1999139,2110204,11832283,(D),(D),(D),19696728,(D),(D),82196381,51816031,16945109,1843479,759454,14342176,13435241,2075481,39604,24966,8164,888,366,6910,6473,62190744,46118853,11106132,7578308,3527824,4965759,43662,4922097,1243015,1013012,230003,2581,227422,50032,45526,21643,1,391000,170000,81,69,38,0,0,1391644,17180.79012,61203966,1,1015000,242000,0,0,1,355000,161000,0,0,1,0,0,0,0,0.3125,5,528933,66116.625,2010
DC,416653118,317306140,(D),357839,6507180,(D),(D),(D),(D),(D),(D),(D),29399267,69291495,(D),(D),(D),(D),(D),(D),27403740,(D),(D),(D),(D),(D),15389821,99346978,(D),27550803,(D),(D),(D),(D),331670527,242804472,29705133,3000697,1389928,25314508,59160922,5678364,58410,42760,5231,528,245,4458,10419,283469623,208112852,47406108,32463633,14942475,27950663,-39961,27990624,3878945,3126466,752479,8298,744181,73079,66565,37613,1,387000,184000,81,69,41,0,0,1828066,22568.71605,67701000,1,1550000,353000,0,0,1,322000,107000,1,0,0,0,0,0,0,0.375,6,665380,83172.5,2010
Denver,140272977,124717164,(D),2473321,(D),4632981,(D),(D),(D),(D),7511095,(D),12858950,27330757,9503682,17827075,(D),(D),(D),(D),10382481,(D),(D),5477316,1621319,3855996,3072165,15555813,(D),(D),(D),(D),(D),(D),111542391,76637061,14382225,1343085,1150534,11888606,20523105,2554816,43660,29997,5629,526,450,4653,8033,87401227,67185523,13745859,9061805,4684054,6469845,-1634,6471479,1637488,1252238,385250,4314,380936,53375,53652,16988,1,384000,183000,81,83,52,0,0,2875245,35496.85185,90677000,1,1049000,250000,0,0,1,316000,113000,0,1,0,0,0,0,0,0.25,4,599264,74908,2010
Green Bay,15388985,13807157,(D),26184,299269,495830,2726483,847957,1878526,(D),717829,(D),397604,3316004,1762838,1553166,1654618,743205,(D),(D),1458282,(D),(D),674496,366921,307575,295224,1581828,(D),(D),(D),3124087,(D),(D),12078452,8044688,1986669,158711,160537,1667421,2047095,306758,39375,26225,6476,517,523,5436,6673,9593820,6983897,1881046,1337412,543634,728877,86833,642044,201974,169570,32404,2716,29688,47500,41186,21626,0,0,0,0,0,0,0,0,0,0,0,1,1018000,242000,0,0,0,0,0,0,0,1,0,1,0,1,0.625,10,566362,70795.25,2010
Houston,349882973,320815686,139440,22419960,5801067,17776708,72778643,(D),(D),31012657,15583399,(D),(D),43669198,14076973,29592226,47353709,(D),(D),(D),20672123,(D),(D),9428371,1887577,7540794,6751251,29067287,22559400,46596057,(D),(D),113114751,207700936,267613203,194814696,32750937,4338860,1700844,26711233,40047570,5947409,44997,32756,5507,730,286,4491,6734,217779057,147015884,28786974,19283690,9503284,41976199,-9526,41985725,3435171,2633832,801339,13427,787912,63397,55818,53287,1,453000,189000,81,76,42,0,0,2331490,28783.82716,93216000,1,1171000,272000,0,0,1,443000,153000,0,1,0,0,0,0,0,0.375,6,568643,71080.375,2010
LA,732746171,660583727,388053,2741917,4364751,17640517,74537445,44751130,29786315,50027610,41298441,18834358,80830090,169809142,41679731,128129411,93919077,61169846,8671952,24077280,54525197,10059344,44465853,35928525,17680534,18247991,15738605,72162445,3129970,91326050,23199109,155367535,95307931,565275795,578372986,374542294,94544810,12656036,7071272,74817502,109285882,12838992,45048,29172,7364,986,551,5827,8512,437680237,298826827,69092217,48435786,20656431,69761193,74367,69686826,7244649,5459331,1785318,1406,1783912,60414,54737,39064,2,1248000,464000,162,160,88,0,0,6813134,42056.38272,200321882,0,0,0,0,0,2,948000,316000,1,0,0,0,0,0,0,0,0,0,0,2010
Louisville,53635724,47729304,(D),90004,622923,1741378,9004021,(D),(D),(D),2974898,(D),(D),9204389,4094708,5109681,5430246,(D),(D),(D),5155275,(D),(D),2147789,(D),(D),(D),5906420,(D),(D),(D),(D),(D),(D),45591845,29039621,9028036,941406,494861,7591769,7524188,1204659,37846,24106,7494,781,411,6302,6246,33312990,24598295,5961216,4075606,1885610,2753479,-2830,2756309,713517,586084,127433,6266,121167,46688,41971,22748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2010
Milwaukee,81647353,73636499,(D),99087,1106048,2081346,13973264,9792532,4180732,5890387,4097510,(D),3315998,16993809,6471064,10522745,10098487,5132999,2613594,2351894,9603324,1905464,7697860,2318308,749270,1569038,1848021,8010853,(D),9987897,(D),17289262,(D),(D),67895636,44037208,12571388,1605564,887615,10078209,11287040,1556684,43616,28289,8076,1031,570,6474,7251,52443784,38153783,9791907,6832351,2959556,4498094,32107,4465987,981214,827300,153914,1615,152299,53448,46118,29324,1,351000,171000,81,77,40,0,0,2776531,34278.16049,81108278,0,0,0,0,0,1,258000,92000,0,0,1,0,0,0,0,0,0,0,0,2010
Minneapolis,189249022,169591656,424276,370617,2450416,5475576,26100333,17043102,9057231,(D),9885647,(D),8803567,38971149,17721776,21249373,29322178,(D),(D),(D),16789715,(D),(D),6180616,1938537,4242079,4041322,19657365,794893,(D),(D),34903900,32370802,137220854,154354201,105314423,22374714,2206988,1581549,18586177,26665064,3340019,46214,31531,6699,661,474,5565,7984,120726939,91572586,20396412,13545702,6850710,8757941,151854,8606087,2213817,1794859,418958,11029,407929,54533,51019,21097,1,405000,162000,81,94,53,0,1,3223640,39798.02469,97559166,1,774000,221000,0,0,1,264000,95000,0,1,0,0,0,0,0,0.375,6,470009,58751.125,2010
Nashville,82980576,75103140,(D),320224,258794,(D),8312718,(D),(D),(D),5637033,(D),(D),12800159,(D),(D),9993976,(D),(D),(D),13427208,(D),(D),(D),(D),(D),(D),7877435,(D),(D),(D),(D),11477578,63625562,68943418,49100287,10828112,1277758,466378,9083976,9015019,1650828,41763,29743,6559,774,283,5503,5461,55722408,35348490,7463691,4896898,2566793,12910227,-66131,12976358,1028788,783931,244857,12526,232331,54163,45091,55853,0,0,0,0,0,0,0,0,0,0,0,1,994000,242000,0,0,0,0,0,0,0,1,0,0,0,0,0.375,6,553144,69143,2010
NYC,1286777512,1159165617,(D),314556,(D),34725092,(D),(D),46789760,(D),58387138,(D),106025751,396016458,203534438,192482020,182792015,117444952,30017344,35329719,112809852,20719473,92090378,48000630,19887771,28112860,24886084,127611896,(D),(D),(D),(D),(D),(D),1033820797,677717894,174249512,19353525,11437933,143458054,181853391,18923793,54631,35813,9208,1023,604,7581,9610,784299598,558444096,124359089,85817536,38541553,101496413,135908,101360505,10924348,8500016,2424332,4667,2419665,71794,65699,41890,2,2458000,709000,162,174,99,0,0,6325545,39046.57407,345156331,2,2326000,479000,0,0,2,967000,315000,1,0,0,0,0,0,1,0.6875,11,1259924,78745.25,2010
Providence,70042006,60227963,(D),28681,(D),2726772,7452460,5392790,2059670,4170478,4346841,1244315,2468563,15584952,4510983,11073969,7185918,3510753,1898283,1776881,9279402,1864805,7414596,2734760,608986,2125774,1560489,9814043,(D),8517319,(D),9921023,(D),(D),67625238,42394921,14828617,1564841,1242504,12021272,10401700,1603115,42184,26445,9250,976,775,7499,6488,43645538,30452632,8202706,5751210,2451496,4990200,14236,4975964,852089,689942,162147,1680,160467,51222,44138,31009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2010
San Fran,318468314,285457990,(D),485847,3216290,10451409,38579016,11669659,26909357,14258335,16240595,(D),21307235,69526357,23151148,46375208,59879599,43246413,7128326,9504861,24065133,3536943,20528190,12419084,4130857,8288226,6318847,33010324,(D),30498930,(D),59886252,(D),(D),266002196,180202000,30625766,2840069,2671942,25113755,55174430,4343782,61237,41485,7050,654,615,5782,12702,198774204,136967503,29642859,20725575,8917284,32163842,53505,32110337,2663490,2003015,660475,1388,659087,74629,68381,48719,1,483000,201000,81,92,49,1,1,3037443,37499.2963,98641333,1,925000,226000,0,0,1,363000,119000,1,0,0,0,0,0,0,0.375,6,572065,71508.125,2010
Seattle,240222890,211145544,653067,175766,310434,6726525,38992829,34246901,4745928,14571795,15431379,7744332,31620774,38847015,9931764,28915251,28230700,18507407,3362079,6361214,15389480,1668172,13721308,7883402,2296587,5586815,4568046,29077346,828834,30003174,8054766,70613603,46548187,164597357,168310441,111864187,23449946,2545525,2570207,18334214,32996308,3449275,48796,32431,6799,738,745,5315,9566,131439392,98345358,23837574,15178151,8659423,9256460,36675,9219785,2154810,1739726,415084,4366,410718,60998,56529,22448,1,439000,191000,81,61,35,0,0,2085630,25748.51852,86510000,1,989000,241000,0,0,0,0,0,0,1,0,0,0,0,1,0.4375,7,535942,66992.75,2010
Tampa Bay,114289356,100966500,310887,161928,2199172,4335362,7247714,4290913,2956800,7458343,8659580,2524328,5786073,25994863,7842067,18152796,15509851,8893540,2023555,4592756,11985784,1171895,10813889,6128029,1546217,4581812,2664585,13322857,472815,16117923,4723500,13033787,12055891,88910609,107124316,61857482,23213445,2188491,993294,20031660,22053389,2788367,38418,22184,8325,785,356,7184,7909,69392866,51236946,11839796,8188190,3651606,6316124,49626,6266498,1464392,1158850,305542,3799,301743,47387,44214,20768,1,316000,156000,81,96,49,0,1,1864999,23024.67901,71923471,1,1032000,246000,0,0,0,0,0,0,1,0,0,0,0,0,0.625,10,394513,49314.125,2010
Tucson,35069935,28061467,83496,1035747,259846,1261241,3939641,3681424,258217,991000,2229118,692511,938108,7218579,1438168,5780411,3404980,2043288,221157,1140535,3863461,268551,3594911,1373913,194161,1179753,769826,7008467,1119243,3220117,952357,4877749,6320125,21741342,33444170,19019501,8101511,732503,265394,7103614,6323158,981653,34069,19375,8253,746,270,7236,6441,21564123,15310059,3981617,2824688,1156929,2272447,18796,2253651,476945,373449,103496,650,102846,45213,40996,21913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2010
Vegas,85728327,75854896,14040,68145,1672294,5902027,2859891,2050332,809559,3183016,5414017,4062010,2318472,17315130,3864207,13450923,8971059,4438499,1810197,2722364,5292406,460239,4832166,17249946,2244364,15005582,1532445,9873431,82184,8597033,5734304,5178363,8844102,67010794,69601904,44374990,11865963,1274686,1456909,9134368,13360951,1952644,35645,22726,6077,653,746,4678,6842,50042316,36520157,8991819,6428064,2563755,4530340,1030,4529310,1056986,834289,222697,186,222511,47344,43774,20355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2010
Virginia Beach,85103176,59311353,(D),(D),636248,(D),(D),(D),(D),(D),4998250,(D),(D),14489901,2136655,12353246,(D),(D),(D),(D),6117728,(D),(D),3016932,(D),(D),(D),25791824,110713,(D),(D),11669635,12148990,47162363,69481881,44709316,11294290,1258269,351824,9684197,13478275,1717022,40467,26039,6578,733,205,5640,7850,50414193,36954919,10393997,7482624,2911373,3065277,5010,3060267,1004002,848917,155085,1595,153490,50213,43532,19938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2010
Atlanta,277405509,250779823,(D),267771,3704264,(D),24796297,(D),(D),(D),14903243,(D),(D),52754957,(D),(D),41014554,(D),(D),(D),(D),(D),(D),9035272,(D),(D),5091216,26625686,(D),(D),(D),(D),34120190,216659633,219075355,151957259,30644518,4429137,1409925,24805456,36473578,5366252,40825,28317,5711,825,263,4622,6797,167581607,123326877,26102271,17602360,8499911,18152459,72782,18079677,3151193,2358644,792549,6774,785775,53180,52287,23009,1,482000,201000,81,89,47,0,0,2372940,29295.55556,93855132,1,814000,233000,0,0,1,270000,109000,1,0,0,0,0,0,1,0.625,10,551892,68986.5,2011
Austin,94641424,81873016,30161,1182604,788426,3926878,13969235,12966037,1003198,10662985,5465327,1304041,5983353,13081010,4360601,8720409,13310665,9709176,(D),(D),6254195,775808,5478387,3637605,653357,2984248,2276530,12768408,1212765,16128313,2092467,19952589,19108878,62764138,77881693,54286093,8590943,977250,360043,7253650,15004657,1780605,43739,30487,4825,549,202,4074,8427,59478283,41896675,8207476,5433735,2773741,9374132,-36675,9410807,1116595,831507,285088,7970,277118,53268,50386,33960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2011
Boise,23418479,20405411,479533,69165,263417,988418,3536195,(D),(D),(D),1888027,(D),(D),3930802,(D),(D),2772779,(D),(D),1012510,(D),(D),(D),683560,138313,545247,(D),3013068,548698,(D),(D),(D),5073311,15332100,21852159,13859570,3832793,428808,188687,3215298,4159796,627640,34816,22082,6107,683,301,5123,6628,15366990,10617616,2516531,1527275,989256,2232843,188712,2044131,356775,267751,89024,4751,84273,43072,39655,24256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2011
Boston,340778444,305948117,(D),88970,4760740,8799884,34607376,24999720,9607657,18812276,12720563,(D),22966037,75298495,29692072,45606423,62104125,44958447,7407765,9737914,41957762,11508045,30449717,11858241,3497304,8360936,5999131,34830327,(D),31532839,(D),57573413,(D),(D),278612314,190914703,36012739,3596473,2230708,30185558,51684872,4609467,60443,41418,7813,780,484,6549,11213,224178540,159915005,34808062,23656811,11151251,29455473,42019,29413454,3132923,2513832,619091,2684,616407,71556,63614,47718,1,912000,272000,81,90,45,0,0,3054001,37703.71605,166662475,1,1400000,333000,0,0,1,482000,146000,0,1,0,0,0,1,1,0.8125,13,550048,68756,2011
Charlotte,117106245,106077882,395706,92306,(D),3407150,16284998,7971373,8313624,8562903,5938543,(D),5035425,29778320,18605567,11172753,(D),(D),(D),(D),6762491,(D),(D),(D),(D),(D),2040917,11028363,488012,14501446,(D),21320423,20180159,85897723,92005049,63001343,15134257,1785838,1009911,12338508,13869449,2281021,40335,27620,6635,783,443,5409,6080,70820172,50780525,10633977,6831089,3802888,9405670,128405,9277265,1318012,1033548,284464,6735,277729,53733,49132,33404,0,0,0,0,0,0,0,0,0,0,0,1,1002000,257000,0,0,1,277000,101000,0,0,1,0,0,0,0,0.375,6,578342,72292.75,2011
Chicago,532961747,480773682,684904,290500,6058052,14891650,70196959,(D),(D),(D),26584144,(D),(D),113144825,48858336,64286489,(D),(D),(D),18713018,47656202,(D),(D),20301295,(D),(D),(D),52188066,975404,(D),(D),(D),86064013,394709668,439395786,293896457,64136112,8008222,3998879,52129011,81363217,9500991,46247,30933,6750,843,421,5487,8564,328447335,244352385,57475957,40137906,17338051,26618993,380311,26238682,5581826,4439368,1142458,5647,1136811,58842,55042,23081,2,1299000,468000,81,150,75,0,0,5019083,61963.98765,264336329,1,1093000,266000,0,0,1,600000,185000,1,0,0,0,0,0,0,0.5,8,497166,62145.75,2011
Cleveland,106751958,95039419,(D),168610,1477486,2674288,17326770,10099391,7227380,7723085,5573671,(D),3920685,22746274,9778282,12967992,13520439,7143920,2918670,3457849,11815406,1687541,10127865,3208389,1106905,2101484,2214159,11712539,(D),13296756,(D),21247455,(D),(D),87465567,55165944,17327553,1955772,544643,14827138,14972070,2068801,42278,26666,8376,945,263,7167,7237,65385854,48331605,11560331,7830345,3729986,5493918,43067,5450851,1260014,1020325,239689,2581,237108,51893,47369,22989,1,353000,168000,81,80,44,0,0,1840835,22726.35802,49426566,1,977000,247000,0,0,1,329000,149000,0,0,1,0,0,0,0,0.25,4,526874,65859.25,2011
DC,431587151,329008702,(D),276780,6240359,(D),(D),(D),(D),(D),(D),(D),(D),72960790,(D),(D),103370412,(D),(D),(D),28412674,(D),(D),13620550,(D),(D),15843475,102578449,(D),28488550,(D),38451249,(D),(D),355350372,258653258,31086403,3085553,1209929,26790921,65610711,5781899,61459,44735,5377,534,209,4634,11348,296584784,215138404,49480654,33868515,15612139,31965726,6002,31959724,3946247,3165994,780253,8266,771987,75156,67953,41399,1,417000,194000,80,80,44,0,0,1940478,24255.975,68492928,1,1555000,352000,0,0,1,328000,109000,1,0,0,0,0,0,0,0.3125,5,615368,76921,2011
Denver,145505300,129955870,(D),2838229,937983,4846492,(D),(D),(D),(D),7579360,(D),12913308,29465829,10037535,19428294,(D),15669106,(D),(D),(D),(D),(D),5773863,1695885,4077978,3170855,15549430,(D),(D),(D),(D),(D),(D),123428104,83764110,14820264,1401127,944711,12474426,24843730,2602973,47418,32180,5694,538,363,4792,9544,93855005,70077763,13697327,8662194,5035133,10079915,39538,10040377,1672982,1272944,400038,4364,395674,56100,55052,25375,1,414000,188000,81,73,38,0,0,2909777,35923.17284,91648071,1,1046000,255000,0,0,1,316000,113000,0,1,0,0,0,1,1,0.5,8,602618,75327.25,2011
Green Bay,15864606,14273010,365301,21071,275413,489200,2732165,957177,1774988,(D),742338,(D),(D),3491077,1887875,1603201,1658288,712894,(D),(D),1547625,(D),(D),731228,413420,317808,(D),1591596,386372,(D),(D),(D),3607738,10665272,12795702,8654922,1945978,167734,123295,1654949,2194802,308594,41465,28046,6306,544,400,5363,7112,10157257,7242615,1978911,1406693,572218,935731,172164,763567,204703,171204,33499,2648,30851,49619,42304,24750,0,0,0,0,0,0,0,0,0,0,0,1,1089000,259000,0,0,0,0,0,0,0,1,0,0,1,1,0.9375,15,564097,70512.125,2011
Houston,380459547,351554757,102551,26126441,6600691,18487473,88972648,(D),(D),34816639,16329990,(D),(D),45849228,13904195,31945032,50695597,(D),(D),(D),21568233,(D),(D),9744587,1911442,7833144,6695047,28904790,26228992,51146629,(D),(D),133689114,217865643,290940253,213782032,34155760,4571107,1351346,28233307,43002461,6056366,48039,35299,5640,755,223,4662,7100,236014255,157780725,29599583,19291100,10308483,48633947,-39154,48673101,3546818,2701022,845796,13515,832281,66543,58415,58482,1,474000,197000,81,56,31,0,0,2067016,25518.71605,71110000,1,1202000,283000,0,0,1,453000,150000,0,1,0,0,0,1,1,0.625,10,571969,71496.125,2011
LA,756470973,683804701,410956,3010746,4708080,16193544,73925867,46163715,27762153,54774968,41913880,19466668,79618413,179805890,43403356,136402535,98344858,64257031,9475579,24612248,57469536,10516804,46952732,38166770,19086517,19080252,15994526,72666271,3421701,96688848,24174748,153544280,93541112,590263589,616063548,399813134,95145515,13074511,5522729,76548275,121104899,12927594,47655,30927,7360,1011,427,5921,9368,461019539,309282976,74302239,52565980,21736259,77434324,88671,77345653,7398718,5513080,1885638,1320,1884318,62311,56100,41047,2,1354000,468000,81,86,45,0,0,6101460,75326.66667,242328643,0,0,0,0,0,2,1224000,316000,1,0,0,0,0,0,0,0,0,0,0,2011
Louisville,55152276,49412561,(D),84711,(D),1732930,(D),(D),(D),(D),3022468,(D),(D),9705890,4318589,5387301,5682371,(D),(D),(D),5419076,(D),(D),2226196,(D),(D),(D),5739715,(D),(D),(D),11143457,(D),(D),48150367,31090546,9156156,970627,394044,7791485,7903665,1211931,39730,25654,7555,801,325,6429,6522,34927300,25474625,6091088,4143955,1947133,3361587,35667,3325920,723731,590852,132879,6202,126677,48260,43115,26255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2011
Milwaukee,84189075,76195703,(D),74276,1379581,1937659,14933011,10870199,4062812,6027012,4223049,(D),3191369,17365699,6278288,11087411,10622474,5235745,2858263,2528465,9893226,2008542,7884685,2436106,803199,1632907,1883669,7993372,(D),10250062,(D),18124380,(D),(D),71826004,46834502,12022885,1654964,622693,9745228,12968617,1561175,46008,30000,7701,1060,399,6242,8307,54994185,39827531,10330678,7180060,3150618,4835976,53185,4782791,994345,836342,158003,1562,156441,55307,47621,30572,1,376000,179000,81,96,57,0,1,3071373,37918.18519,86636333,0,0,0,0,0,1,268000,92000,0,0,1,0,0,0,0,0,0,0,0,2011
Minneapolis,197392868,177903236,585372,549951,2500542,5701557,28649166,17798329,10850838,(D),10041072,(D),9008532,40405690,18399986,22005704,30644398,(D),(D),(D),17455481,(D),(D),6458234,2033482,4424753,4163373,19489631,1135323,(D),(D),37657698,35486047,142417190,165504071,113233906,22542556,2177699,1122546,19242311,29727609,3373132,49065,33569,6683,646,333,5705,8813,127879205,95774509,22113161,14809069,7304092,9991535,261278,9730257,2265061,1830274,434787,10829,423958,56457,52328,22951,1,490000,213000,81,63,33,0,0,3168116,39112.54321,112737000,1,796000,227000,0,0,1,272000,97000,0,1,0,0,0,0,0,0.1875,3,502529,62816.125,2011
Nashville,87243926,79093911,(D),271663,(D),(D),8559562,(D),(D),(D),6043568,(D),5247366,13451831,(D),(D),10797115,(D),(D),(D),14309216,(D),(D),5861545,(D),(D),2148256,8150015,(D),(D),(D),13806928,(D),(D),73638452,52945173,11048243,1307245,405197,9335801,9645036,1673920,43992,31629,6600,781,242,5577,5762,59189191,36871692,7816286,5125216,2691070,14501213,-37447,14538660,1056969,803338,253631,12147,241484,55999,45898,60205,0,0,0,0,0,0,0,0,0,0,0,1,964000,250000,0,0,0,0,0,0,0,1,0,0,0,0,0.5625,9,553144,69143,2011
NYC,1309742851,1183680934,(D),(D),(D),34108294,(D),(D),42304919,(D),61023497,(D),107146592,402872382,202480109,200392273,191979839,125798181,30802120,35379538,115872639,21578430,94294210,50624158,19904202,30719957,25592355,126061916,(D),(D),(D),(D),(D),(D),1094617223,714237786,176792920,19795228,9303911,147693781,203586517,19052465,57453,37488,9279,1039,488,7752,10686,815447411,578793083,126891819,86859900,40031919,109762509,119640,109642869,11240143,8594744,2645399,4589,2640810,72548,67343,41519,2,2447000,660000,81,174,86,0,1,6006276,74151.55556,358172337,2,2523000,578000,0,0,2,1137000,333000,1,0,0,0,1,1,1,0.53125,17,1267688,79230.5,2011
Providence,71262105,61118607,(D),21757,(D),2700160,7214182,5215372,1998809,4351912,4370260,1286979,2481769,15956961,4483054,11473906,7437153,3567822,2036899,1832432,9434013,1924793,7509219,2844002,635086,2208916,1560713,10143498,(D),8722171,(D),9695951,(D),(D),70323674,44080663,14927279,1624439,1026970,12275870,11315732,1602828,43875,27502,9313,1013,641,7659,7060,44712278,31415044,8200215,5653031,2547184,5097019,13002,5084017,860585,693441,167144,1697,165447,51956,45303,30729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2011
San Fran,331268308,297602363,(D),558635,3231677,10838449,35747422,11929222,23818200,15689779,16632803,(D),22952844,72304544,23523650,48780894,66157569,48262844,7986156,9908569,24518817,3732047,20786770,13355438,4318740,9036699,6491256,33665945,(D),32322581,(D),58700266,(D),(D),288057649,193835802,30533808,2915509,2031315,25586984,63688039,4395894,65529,44095,6946,663,462,5821,14488,209573251,144387445,31936954,22507468,9429486,33248852,94192,33154660,2715302,2035824,679478,1373,678105,77182,70923,48893,1,563000,230000,81,86,46,0,0,3387303,41818.55556,124198333,1,990000,234000,0,0,1,450000,139000,1,0,0,0,0,1,1,0.8125,13,557856,69732,2011
