City,All industry total (in thousands),  Private industries,"    Agriculture, forestry, fishing and hunting","    Mining, quarrying, and oil and gas extraction",    Utilities,    Construction,    Manufacturing,      Durable goods manufacturing,      Nondurable goods manufacturing,    Wholesale trade,    Retail trade,    Transportation and warehousing,    Information,"    Finance, insurance, real estate, rental, and leasing",      Finance and insurance,      Real estate and rental and leasing,    Professional and business services,"      Professional, scientific, and technical services",      Management of companies and enterprises,      Administrative and support and waste management and remediation services,"    Educational services, health care, and social assistance",      Educational services,      Health care and social assistance,"    Arts, entertainment, recreation, accommodation, and food services","      Arts, entertainment, and recreation",      Accommodation and food services,    Other services (except government and government enterprises),Government and government enterprises,Natural resources and mining,Trade,Transportation and utilities,Manufacturing and information,Private goods-producing industries 2/,Private services-providing industries 3/,Personal income (thousands of dollars),  Net earnings by place of residence,  Personal current transfer receipts,    Income maintenance benefits 1/,    Unemployment insurance compensation,    Retirement and other,"  Dividends, interest, and rent 2/",  Population (persons) 3/,  Per capita personal income 4/,  Per capita net earnings 4/,  Per capita personal current transfer receipts 4/,    Per capita income maintenance benefits 4/,    Per capita unemployment insurance compensation 4/,    Per capita retirement and other 4/,"  Per capita dividends, interest, and rent 4/",  Earnings by place of work,    Wages and salaries,    Supplements to wages and salaries,      Employer contributions for employee pension and insurance funds 5/,      Employer contributions for government social insurance,    Proprietors' income,      Farm proprietors' income,      Nonfarm proprietors' income,Total employment (number of jobs),  Wage and salary employment,  Proprietors employment,    Farm proprietors employment 6/,    Nonfarm proprietors employment,Average earnings per job (dollars),  Average wages and salaries,  Average nonfarm proprietors' income,Total MLB Teams,Total MLB Team Value (dollars thousands),Total team revenue (dollars thousands),Home Games MLB,Reg Season wins MLB,Home Wins MLB,World Series Title,Division Title MLB,Attendance MLB,Attendace per Game MLB,Payroll MLB (dollars),NFL Teams,NFL Team Value (Thousands,NFL Team Revenue,NFL Team Purchased,NFL Team relocated,NBA Team Numbers,NBA Team Value,NBA Team Revenue,Large Market,Medium Market,Small Market,No Teams,NFL Super Bowl Winner,NFL Division Champion,NFL Playoff Participants,NFL Win Percentage,NFL Wins,NFL Home Attendance,Average Attendance Per Game,Year
Tampa Bay,79984909,71548166,(D),40091,(D),4244333,5385255,(D),(D),(D),7181493,1928590,3680035,17371016,6032091,11338925,(D),(D),(D),4938780,6560650,477594,6083056,3570139,861085,2709054,2109938,8436742,(D),(D),(D),9065291,(D),(D),72647379,45273529,11567129,768766,144847,10653516,15806721,2444015,29725,18524,4733,315,59,4359,6468,51897056,39674396,8538001,5808159,2729842,3684659,99423,3585236,1413290,1209141,204149,4743,199406,36721,32812,17980,1,150000,81300,81,62,37,0,0,1298365,16029.19753,56980000,1,582000,146000,0,0,0,0,0,0,1,0,0,0,0,1,0.5625,9,524468,65558.5,2001
Tucson,25027006,20497952,8047,220637,175636,1201409,4301213,4076048,225164,527526,1962745,452941,890480,5089096,1417212,3671885,2031809,1057337,135719,838753,1952498,96380,1856118,1020998,167130,853868,662918,4529054,228683,2490271,628577,5191693,5731305,14766647,22810399,13927802,3500616,274430,44048,3182138,5381981,859280,26546,16209,4074,319,51,3703,6263,15583613,11131469,2459900,1636232,823668,1992244,-4158,1996402,436864,358913,77951,687,77264,35672,31014,25839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2001
Vegas,56033269,50830041,5477,46654,1067247,4946459,1332724,668928,663796,2184792,4303782,1759956,1744325,11530699,4090136,7440563,5070657,2539004,667134,1864520,2498646,118557,2380090,13247337,1747152,11500185,1091285,5203227,52131,6488573,2827203,3077049,6331314,44498727,46261651,32754013,4687398,339377,210783,4137238,8820240,1460500,31675,22427,3209,232,144,2833,6039,36910650,25766718,5554971,3692859,1862112,5588961,342,5588619,882073,754129,127944,248,127696,41845,34168,43765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2001
Virginia Beach,58555996,42361223,120382,6871,576168,(D),(D),(D),(D),(D),(D),(D),(D),9989386,(D),(D),(D),(D),(D),(D),3318840,(D),(D),(D),(D),(D),1255305,16194773,127253,6061834,(D),10105790,10445262,31915961,47528977,31947560,5449631,531421,70197,4848013,10131786,1626238,29226,19645,3351,327,43,2981,6230,35613078,26632472,6205855,4296539,1909316,2774751,24169,2750582,969615,857344,112271,1735,110536,36729,31064,24884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2001
Atlanta,214808823,195338185,215573,370752,2142929,(D),(D),(D),(D),(D),13332632,(D),(D),42971564,(D),(D),26852834,(D),(D),(D),11296316,(D),(D),7203265,(D),(D),4435076,19470637,586326,(D),(D),46685359,33130469,162207716,157050560,119265749,13814339,1358353,580275,11875711,23970472,4489288,34983,26567,3077,303,129,2645,5339,134166931,96635728,18606487,12249345,6357142,18924716,95210,18829506,2795141,2339655,455486,8773,446713,48000,41303,42151,1,423000,na,80,101,52,0,1,2603484,32543.55,93470367,1,407000,120000,1,0,1,199000,76000,1,0,0,0,0,0,0,0.5625,9,550974,68871.75,2002
Austin,57404923,49065639,24653,189202,454681,4356023,8305291,(D),(D),4284173,4037186,623700,4905291,8040765,2776866,5263899,6869596,4973734,(D),(D),3393158,(D),(D),1979557,348864,1630693,1602360,8339285,213856,8321359,1078381,13210583,12875170,36190468,45954032,35400687,3544911,336634,223765,2984512,7008434,1347822,34095,26265,2630,250,166,2214,5200,39601389,26810824,5472093,3730593,1741500,7318472,6500,7311972,856715,686402,170313,8323,161990,46225,39060,45138,0,0,na,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2002
Boise,16997654,14938677,267862,15698,114408,1096394,3229038,(D),(D),(D),1398304,(D),(D),2766866,(D),(D),2003664,(D),(D),(D),1372706,(D),(D),(D),(D),(D),361933,2058977,283560,(D),(D),(D),4608992,10329685,14757498,10272411,1690719,130949,99239,1460531,2794368,499994,29515,20545,3381,262,198,2921,5589,11573150,7969242,1810775,1124312,686463,1793133,86936,1706197,313222,249788,63434,5056,58378,36949,31904,29227,0,0,na,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2002
Boston,240457644,216887561,(D),87802,2153190,9750087,27283976,(D),(D),13614603,11539649,(D),13845807,59279297,26201465,33077832,38398508,27260756,4850326,6287426,23533924,6427872,17106052,7990596,2091107,5899489,5360299,23570084,(D),25154252,(D),41129783,(D),(D),191456821,134616365,21148462,1455839,1648817,18043806,35691994,4440034,43121,30319,4763,328,371,4064,8039,161324748,119800183,23458776,15359271,8099505,18065789,-8215,18074004,2977857,2523643,454214,2498,451716,54175,47471,40012,1,428070.1754,na,81,93,42,0,0,2650859,32726.65432,108366060,1,571000,136000,0,0,1,218000,81000,0,1,0,0,0,0,0,0.5625,9,547488,68436,2002
Charlotte,79112494,72490276,429934,92876,1626924,3936425,14317315,(D),(D),(D),4711465,(D),4107150,17920086,9666136,8253949,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1695585,6622219,522810,(D),(D),18424465,18776549,53713726,54246879,38419365,7085821,740439,339206,6006176,8741693,1832361,29605,20967,3867,404,185,3278,4771,44924074,36731703,7499741,4878738,2621003,692630,156061,536569,1134667,964019,170648,7219,163429,39592,38103,3283,0,0,na,0,0,0,0,0,0,0,0,1,609000,152000,0,0,0,0,0,0,0,1,0,0,0,0,0.4375,7,572015,71501.875,2002
Chicago,410818233,371362670,235358,324173,4991753,19023186,53849630,(D),(D),(D),23666868,(D),(D),98129080,42062074,56067006,55004720,(D),(D),(D),(D),(D),(D),15583237,(D),(D),(D),39455563,559530,(D),(D),(D),73432347,297930324,341880172,243860636,37166537,3771139,2281309,31114089,60852999,9206032,37137,26489,4037,410,248,3380,6610,273901299,197680316,43672848,30302234,13370614,32548135,32308,32515827,5386960,4601010,785950,6294,779656,50845,42965,41705,2,508229.5482,na,162,148,83,0,0,4370537,26978.62346,132743666,1,540000,124000,0,0,1,329000,117000,1,0,0,0,0,0,0,0.25,4,487255,60906.875,2002
